"src","dest"
"6198","2353"
"6198","3725"
"6198","5469"
"6198","6667"
"6198","8202"
"6199","10498"
"6199","2099"
"6199","2100"
"6199","2353"
"6199","3725"
"6199","5469"
"6199","6667"
"6199","8202"
"6300","10498"
"6300","2099"
"6300","2100"
"6300","2353"
"6300","3725"
"6300","5469"
"6300","6667"
"6300","8202"
"6714","10498"
"6714","2099"
"6714","2100"
"6714","2353"
"6714","3725"
"6714","4313"
"6714","4318"
"6714","5469"
"6714","6667"
"6714","8202"
"7157","1026"
"7157","1027"
"7157","1029"
"7157","1031"
"8503","10000"
"8503","207"
"8503","208"
"1147","4790"
"1147","5970"
"3551","4790"
"3551","5970"
"4790","3553"
"4790","3569"
"4790","7124"
"5970","3553"
"5970","3569"
"5970","7124"
"8517","4790"
"8517","5970"
"10000","1026"
"10000","329"
"10000","330"
"10000","331"
"10000","332"
"10000","842"
"1026","4217"
"1026","836"
"1029","4193"
"2064","5594"
"2064","5595"
"207","1026"
"207","329"
"207","330"
"207","331"
"207","332"
"207","842"
"208","1026"
"208","329"
"208","330"
"208","331"
"208","332"
"208","842"
"27113","596"
"27113","598"
"317","842"
"329","836"
"329","842"
"330","836"
"330","842"
"331","836"
"331","842"
"332","836"
"332","842"
"355","8772"
"356","355"
"472","7157"
"5170","10000"
"5170","207"
"5170","208"
"5290","5170"
"5291","5170"
"5293","5170"
"5295","5170"
"5296","5170"
"5366","596"
"5366","598"
"54205","842"
"5594","572"
"5595","572"
"572","596"
"572","598"
"596","578"
"598","578"
"7157","27113"
"7157","355"
"7157","5366"
"7157","578"
"7157","581"
"841","472"
"841","637"
"841","7157"
"841","836"
"842","836"
"8503","5170"
"8772","841"
"23049","5976"
"132430","255967"
"132430","29883"
"132430","9337"
"140886","255967"
"140886","29883"
"140886","9337"
"26986","255967"
"26986","29883"
"26986","9337"
"340529","255967"
"340529","29883"
"340529","9337"
"5042","255967"
"5042","29883"
"5042","9337"
"645974","255967"
"645974","29883"
"645974","9337"
"80336","255967"
"80336","29883"
"80336","9337"
"8761","255967"
"8761","29883"
"8761","9337"
"5465","10062"
"5465","10873"
"5465","10999"
"5465","116519"
"5465","126129"
"5465","1374"
"5465","1375"
"5465","1376"
"5465","1581"
"5465","1582"
"5465","1622"
"5465","1962"
"5465","2168"
"5465","2180"
"5465","2181"
"5465","2182"
"5465","23205"
"5465","23305"
"5465","30"
"5465","3157"
"5465","3158"
"5465","335"
"5465","336"
"5465","34"
"5465","345"
"5465","376497"
"5465","4023"
"5465","4199"
"5465","51"
"5465","51129"
"5465","51703"
"5465","5360"
"5465","6319"
"5465","6342"
"5465","7350"
"5465","79966"
"5465","81616"
"5465","8309"
"5465","8310"
"5465","9415"
"5467","126129"
"5467","1374"
"5467","1375"
"5467","2170"
"5467","33"
"5467","3611"
"5467","4023"
"5467","51"
"5467","51129"
"5467","5170"
"5467","7316"
"5467","7350"
"5467","8309"
"5467","8310"
"5468","100509620"
"5468","10062"
"5468","10580"
"5468","10999"
"5468","123"
"5468","126129"
"5468","1374"
"5468","1375"
"5468","1593"
"5468","2167"
"5468","2180"
"5468","2181"
"5468","2182"
"5468","23205"
"5468","23305"
"5468","2710"
"5468","2712"
"5468","364"
"5468","376497"
"5468","4023"
"5468","4312"
"5468","440503"
"5468","4973"
"5468","5105"
"5468","5106"
"5468","51129"
"5468","51703"
"5468","5346"
"5468","6319"
"5468","729359"
"5468","7350"
"5468","79966"
"5468","81616"
"5468","9370"
"5468","948"
"6256","100509620"
"6256","10062"
"6256","10580"
"6256","10873"
"6256","10999"
"6256","116519"
"6256","123"
"6256","126129"
"6256","1374"
"6256","1375"
"6256","1376"
"6256","1581"
"6256","1582"
"6256","1593"
"6256","1622"
"6256","1962"
"6256","2167"
"6256","2168"
"6256","2170"
"6256","2180"
"6256","2181"
"6256","2182"
"6256","23205"
"6256","23305"
"6256","2710"
"6256","2712"
"6256","30"
"6256","3157"
"6256","3158"
"6256","33"
"6256","335"
"6256","336"
"6256","34"
"6256","345"
"6256","3611"
"6256","364"
"6256","376497"
"6256","4023"
"6256","4199"
"6256","4312"
"6256","440503"
"6256","4973"
"6256","51"
"6256","5105"
"6256","5106"
"6256","51129"
"6256","5170"
"6256","51703"
"6256","5346"
"6256","5360"
"6256","6319"
"6256","6342"
"6256","729359"
"6256","7316"
"6256","7350"
"6256","79966"
"6256","81616"
"6256","8309"
"6256","8310"
"6256","9370"
"6256","9415"
"6256","948"
"6257","100509620"
"6257","10062"
"6257","10580"
"6257","10873"
"6257","10999"
"6257","116519"
"6257","123"
"6257","126129"
"6257","1374"
"6257","1375"
"6257","1376"
"6257","1581"
"6257","1582"
"6257","1593"
"6257","1622"
"6257","1962"
"6257","2167"
"6257","2168"
"6257","2170"
"6257","2180"
"6257","2181"
"6257","2182"
"6257","23205"
"6257","23305"
"6257","2710"
"6257","2712"
"6257","30"
"6257","3157"
"6257","3158"
"6257","33"
"6257","335"
"6257","336"
"6257","34"
"6257","345"
"6257","3611"
"6257","364"
"6257","376497"
"6257","4023"
"6257","4199"
"6257","4312"
"6257","440503"
"6257","4973"
"6257","51"
"6257","5105"
"6257","5106"
"6257","51129"
"6257","5170"
"6257","51703"
"6257","5346"
"6257","5360"
"6257","6319"
"6257","6342"
"6257","729359"
"6257","7316"
"6257","7350"
"6257","79966"
"6257","81616"
"6257","8309"
"6257","8310"
"6257","9370"
"6257","9415"
"6257","948"
"6258","100509620"
"6258","10062"
"6258","10580"
"6258","10873"
"6258","10999"
"6258","116519"
"6258","123"
"6258","126129"
"6258","1374"
"6258","1375"
"6258","1376"
"6258","1581"
"6258","1582"
"6258","1593"
"6258","1622"
"6258","1962"
"6258","2167"
"6258","2168"
"6258","2170"
"6258","2180"
"6258","2181"
"6258","2182"
"6258","23205"
"6258","23305"
"6258","2710"
"6258","2712"
"6258","30"
"6258","3157"
"6258","3158"
"6258","33"
"6258","335"
"6258","336"
"6258","34"
"6258","345"
"6258","3611"
"6258","364"
"6258","376497"
"6258","4023"
"6258","4199"
"6258","4312"
"6258","440503"
"6258","4973"
"6258","51"
"6258","5105"
"6258","5106"
"6258","51129"
"6258","5170"
"6258","51703"
"6258","5346"
"6258","5360"
"6258","6319"
"6258","6342"
"6258","729359"
"6258","7316"
"6258","7350"
"6258","79966"
"6258","81616"
"6258","8309"
"6258","8310"
"6258","9370"
"6258","9415"
"6258","948"
"50511","675"
"2177","22909"
"2177","675"
"22909","4292"
"22909","5395"
"57599","55120"
"675","5888"
"675","5889"
"7398","55120"
"79728","5889"
"83990","4292"
"83990","5395"
"9894","545"
"10000","4217"
"10000","6416"
"10125","22800"
"10125","22808"
"10125","3265"
"10125","3845"
"10125","4893"
"10125","6237"
"10235","22800"
"10235","22808"
"10235","3265"
"10235","3845"
"10235","4893"
"10235","6237"
