"src","dest"
"JAG1","NOTCH3"
"JAG1","NOTCH4"
"HBEGF","EGFR"
"EGFR","PIK3CA"
"EGFR","PIK3CB"
"EGFR","PIK3CD"
"EGFR","PIK3R1"
"EGFR","PIK3R2"
"EGFR","PIK3R3"
"ERBB2","PIK3CA"
"ERBB2","PIK3CB"
"ERBB2","PIK3CD"
"ERBB2","PIK3R1"
"ERBB2","PIK3R2"
"ERBB2","PIK3R3"
"GNAS","ADCY1"
"GNAS","ADCY2"
"GNAS","ADCY3"
"GNAS","ADCY5"
"GNAS","ADCY6"
"GNAS","ADCY7"
"GNAS","ADCY8"
"GNAS","ADCY9"
"GNAS","ADCY4"
"GNAS","SRC"
"DLL1","NOTCH1"
"DLL1","NOTCH2"
"DLL1","NOTCH3"
"DLL1","NOTCH4"
"GPER1","GNAS"
"IGF1R","PIK3CA"
"IGF1R","PIK3CB"
"IGF1R","PIK3CD"
"IGF1R","PIK3R1"
"IGF1R","PIK3R2"
"IGF1R","PIK3R3"
"JAG2","NOTCH1"
"JAG2","NOTCH2"
"JAG2","NOTCH3"
"JAG2","NOTCH4"
"MDM2","TP53"
"MMP2","HBEGF"
"MMP9","HBEGF"
"PIK3CA","AKT3"
"PIK3CA","AKT1"
"PIK3CA","AKT2"
"PIK3CB","AKT3"
"PIK3CB","AKT1"
"PIK3CB","AKT2"
"PIK3CD","AKT3"
"PIK3CD","AKT1"
"PIK3CD","AKT2"
"PIK3R1","AKT3"
"PIK3R1","AKT1"
"PIK3R1","AKT2"
"PIK3R2","AKT3"
"PIK3R2","AKT1"
"PIK3R2","AKT2"
"DLL4","NOTCH1"
"DLL4","NOTCH2"
"DLL4","NOTCH3"
"DLL4","NOTCH4"
"PRKACA","CARM1"
"PRKACA","ESR1"
"PRKACA","ESR2"
"PRKACA","FOS"
"PRKACA","ARAF"
"PRKACA","JUN"
"PRKACA","MED1"
"PRKACA","RAF1"
"PRKACA","RPS6KB1"
"PRKACA","RPS6KB2"
"PRKACA","SP1"
"PRKACA","BRAF"
"PRKACA","NCOA3"
"PRKACB","CARM1"
"PRKACB","ESR1"
"PRKACB","ESR2"
"PRKACB","FOS"
"PRKACB","ARAF"
"PRKACB","JUN"
"PRKACB","MED1"
"PRKACB","RAF1"
"PRKACB","RPS6KB1"
"PRKACB","RPS6KB2"
"PRKACB","SP1"
"PRKACB","BRAF"
"PRKACB","NCOA3"
"PRKACG","CARM1"
"PRKACG","ESR1"
"PRKACG","ESR2"
"PRKACG","FOS"
"PRKACG","ARAF"
"PRKACG","JUN"
"PRKACG","MED1"
