"10000"	"2475"	"0"
"10018"	"581"	"0"
"1950"	"1956"	"0"
"1950"	"2064"	"0"
"1950"	"2065"	"0"
"1956"	"2549"	"0"
"1956"	"25759"	"0"
"1956"	"3716"	"0"
"1956"	"3717"	"0"
"1956"	"399694"	"0"
"1956"	"5335"	"0"
"1956"	"53358"	"0"
"1956"	"5336"	"0"
"1956"	"6464"	"0"
"2064"	"2549"	"0"
"2064"	"25759"	"0"
"2064"	"3716"	"0"
"2064"	"3717"	"0"
"2064"	"399694"	"0"
"2064"	"5335"	"0"
"2064"	"53358"	"0"
"2064"	"5336"	"0"
"2064"	"6464"	"0"
"2064"	"6714"	"0"
"2065"	"2549"	"0"
"2065"	"25759"	"0"
"2065"	"3716"	"0"
"2065"	"3717"	"0"
"2065"	"399694"	"0"
"2065"	"5335"	"0"
"2065"	"53358"	"0"
"2065"	"5336"	"0"
"2065"	"6464"	"0"
"2065"	"6714"	"0"
"207"	"2475"	"0"
"208"	"2475"	"0"
"2247"	"2261"	"0"
"2247"	"2263"	"0"
"2261"	"2549"	"0"
"2261"	"25759"	"0"
"2261"	"3716"	"0"
"2261"	"3717"	"0"
"2261"	"399694"	"0"
"2261"	"5335"	"0"
"2261"	"53358"	"0"
"2261"	"5336"	"0"
"2261"	"6464"	"0"
"2261"	"6714"	"0"
"2263"	"2549"	"0"
"2263"	"25759"	"0"
"2263"	"3716"	"0"
"2263"	"3717"	"0"
"2263"	"399694"	"0"
"2263"	"5335"	"0"
"2263"	"53358"	"0"
"2263"	"5336"	"0"
"2263"	"6464"	"0"
"2263"	"6714"	"0"
"2309"	"10018"	"0"
"2475"	"6198"	"0"
"2475"	"6199"	"0"
"2549"	"5290"	"0"
"2549"	"5291"	"0"
"2549"	"5293"	"0"
"2549"	"5295"	"0"
"2549"	"5296"	"0"
"2549"	"8503"	"0"
"2621"	"558"	"0"
"2885"	"6654"	"0"
"2885"	"6655"	"0"
"3082"	"2065"	"0"
"3082"	"4233"	"0"
"3084"	"1956"	"0"
"3084"	"2064"	"0"
"3084"	"2065"	"0"
"3265"	"369"	"0"
"3265"	"5894"	"0"
"3265"	"673"	"0"
"3479"	"3480"	"0"
"3480"	"2549"	"0"
"3480"	"25759"	"0"
"3480"	"3716"	"0"
"3480"	"3717"	"0"
"3480"	"399694"	"0"
"3480"	"5335"	"0"
"3480"	"53358"	"0"
"3480"	"5336"	"0"
"3480"	"6464"	"0"
"3480"	"6714"	"0"
"3569"	"3570"	"0"
"3570"	"2549"	"0"
"3570"	"25759"	"0"
"3570"	"3716"	"0"
"3570"	"3717"	"0"
"3570"	"399694"	"0"
"3570"	"5335"	"0"
"3570"	"53358"	"0"
"3570"	"5336"	"0"
"3570"	"6464"	"0"
"3570"	"6714"	"0"
"369"	"5604"	"0"
"369"	"5605"	"0"
"3716"	"6774"	"0"
"3717"	"6774"	"0"
"3791"	"2549"	"0"
"3791"	"25759"	"0"
"3791"	"3716"	"0"
"3791"	"3717"	"0"
"3791"	"399694"	"0"
"3791"	"5335"	"0"
"3791"	"53358"	"0"
"3791"	"5336"	"0"
"3791"	"6464"	"0"
"3791"	"6714"	"0"
"3845"	"369"	"0"
"3845"	"5894"	"0"
"3845"	"673"	"0"
"4233"	"2065"	"0"
"4233"	"2549"	"0"
"4233"	"25759"	"0"
"4233"	"3716"	"0"
"4233"	"3717"	"0"
"4233"	"399694"	"0"
"4233"	"5335"	"0"
"4233"	"53358"	"0"
"4233"	"5336"	"0"
"4233"	"6464"	"0"
"4233"	"6714"	"0"
"4893"	"369"	"0"
"4893"	"5894"	"0"
"4893"	"673"	"0"
"5154"	"5156"	"0"
"5154"	"5159"	"0"
"5155"	"5156"	"0"
"5155"	"5159"	"0"
"5156"	"2549"	"0"
"5156"	"25759"	"0"
"5156"	"3716"	"0"
"5156"	"3717"	"0"
"5156"	"399694"	"0"
"5156"	"5335"	"0"
"5156"	"53358"	"0"
"5156"	"5336"	"0"
"5156"	"6464"	"0"
"5156"	"6714"	"0"
"5159"	"2549"	"0"
"5159"	"25759"	"0"
"5159"	"3716"	"0"
"5159"	"3717"	"0"
"5159"	"399694"	"0"
"5159"	"5335"	"0"
"5159"	"53358"	"0"
"5159"	"5336"	"0"
"5159"	"6464"	"0"
