"src","dest"
"2767","1432"
"2769","1432"
"207","3690"
"207","3674"
"1088","3688"
"1088","3678"
"5269","5328"
"5269","5329"
"4680","3688"
"4680","3678"
"5547","3827"
"5547","3818"
"5547","708"
"6850","27040"
"6850","3937"
"2776","1432"
"5271","5328"
"5271","5329"
"7410","5880"
"7410","998"
"7410","387"
"7410","388"
"7410","391"
"6281","5340"
"6281","5327"
"2885","4893"
"2885","3265"
"2885","3845"
"7010","4893"
"7010","3265"
"7010","3845"
"5329","3273"
"5781","2534"
"5781","4067"
"5781","2207"
"5781","10630"
"5781","51206"
"5781","51266"
"6654","4893"
"6654","3265"
"6654","3845"
"3937","5336"
"5593","3778"
"5593","3708"
"5593","3779"
"5593","27345"
"5593","27094"
"5593","10242"
"5593","10335"
"5592","3778"
"5592","3708"
"5592","3779"
"5592","27345"
"5592","27094"
"5592","10242"
"5592","10335"
"284","4893"
"284","3265"
"284","3845"
"221037","8350"
"221037","8351"
"221037","8352"
"221037","8353"
"221037","8354"
"221037","8355"
"221037","8356"
"221037","8357"
"221037","8358"
"221037","8968"
"221037","3020"
"221037","3021"
"221037","126961"
"221037","333932"
"221037","653604"
"4778","3045"
"4778","3046"
"4778","3043"
"4778","3047"
"4778","3048"
"10235","5908"
"10235","5906"
"11069","5908"
"11069","5906"
"9002","2793"
"9002","10681"
"9002","2788"
"9002","9630"
"9002","2784"
"9002","2767"
"9002","2769"
"9002","2776"
"9002","2786"
"9002","2790"
"9002","54331"
"9002","2791"
"9002","2782"
"9002","2783"
"9002","2792"
"9002","2785"
"9002","2787"
"9002","2768"
"9002","10672"
"9002","59345"
"9002","51764"
"9002","55970"
"9002","94235"
"10451","5880"
"10451","998"
"10451","387"
"10451","391"
"23764","3045"
"23764","3046"
"23764","3043"
"23764","3047"
"23764","3048"
"208","5140"
"3717","5595"
"3717","5604"
"3569","5595"
"3569","5604"
"983","5604"
"3570","5595"
"3570","5604"
"3716","5595"
"3716","5604"
"7297","5595"
"7297","5604"
"3572","5595"
"3572","5604"
"5604","5595"
"5781","5595"
"5781","5604"
"9246","7318"
"7314","9636"
"7314","5111"
"7314","6118"
"7314","6117"
"7314","5424"
"7314","6119"
"7314","5984"
"7314","5982"
"7314","5981"
"7314","5985"
"7314","5983"
"7314","7318"
"7314","5425"
"7314","5427"
"7314","5426"
"7314","10714"
"7314","57804"
"7314","56655"
"7314","54107"
"7316","9636"
"7316","5111"
"7316","6118"
"7316","6117"
"7316","5424"
"7316","6119"
"7316","5984"
"7316","5982"
"7316","5981"
"7316","5985"
"7316","5983"
"7316","7318"
"7316","5425"
"7316","5427"
"7316","5426"
"7316","10714"
"7316","57804"
"7316","56655"
"7316","54107"
"5111","9636"
"5111","7318"
"6118","9636"
"6118","7318"
"6117","9636"
"6117","7318"
"6119","9636"
"6119","7318"
"5984","9636"
"5984","7318"
"5982","9636"
"5982","7318"
"5981","9636"
"5981","7318"
"5985","9636"
"5985","7318"
"5983","9636"
"5983","7318"
"6233","9636"
"6233","5111"
"6233","6118"
"6233","6117"
"6233","5424"
"6233","6119"
"6233","5984"
"6233","5982"
"6233","5981"
"6233","5985"
"6233","5983"
"6233","7318"
"6233","5425"
"6233","5427"
"6233","5426"
"6233","10714"
"6233","57804"
"6233","56655"
"6233","54107"
"7311","9636"
"7311","5111"
"7311","6118"
"7311","6117"
"7311","5424"
"7311","6119"
"7311","5984"
"7311","5982"
"7311","5981"
"7311","5985"
"7311","5983"
"7311","7318"
"7311","5425"
"7311","5427"
"7311","5426"
"7311","10714"
"7311","57804"
"7311","56655"
"7311","54107"
"7706","7318"
"9768","5111"
"9768","6118"
"9768","6117"
"9768","5424"
"9768","6119"
"9768","5984"
"9768","5982"
"9768","5981"
"9768","5985"
"9768","5983"
"9768","5425"
"9768","5427"
"9768","5426"
"9768","10714"
"9768","57804"
"9768","56655"
"9768","54107"
"25898","5111"
"25898","6118"
"25898","6117"
"25898","6119"
"25898","5984"
"25898","5982"
"25898","5981"
"25898","5985"
"25898","5983"
"25898","5429"
"51426","9636"
"51426","7318"
"51455","9636"
"51455","7318"
"11201","9636"
"11201","7318"
"5429","9636"
"5429","7314"
"5429","7316"
"5429","7318"
"5429","6233"
"5429","7311"
"6118","7314"
"6118","7316"
"6118","6233"
"6118","7311"
"6117","7314"
"6117","7316"
"6117","6233"
"6117","7311"
"5424","7314"
"5424","7316"
"5424","6233"
"5424","7311"
"6119","7314"
"6119","7316"
"6119","6233"
"6119","7311"
"5984","7314"
"5984","7316"
"5984","6233"
"5984","7311"
"5982","7314"
"5982","7316"
"5982","6233"
