"src","dest"
"SERPINC1","F13B"
"SERPINC1","GP1BA"
"SERPINC1","F5"
"SERPINC1","GP1BB"
"SERPINC1","GP9"
"SERPINC1","GP5"
"FGA","F13A1"
"FGA","F13B"
"FGB","F13A1"
"FGB","F13B"
"FGG","F13A1"
"FGG","F13B"
"PF4","PROC"
"PF4","PROCR"
"PROC","F8"
"PROC","F8"
"PROC","F13A1"
"PROC","FGA"
"PROC","FGB"
"PROC","FGG"
"PROC","F11"
"PROC","VWF"
"PROC","F13B"
"PROC","GP1BA"
"PROC","F5"
"PROC","F5"
"PROC","GP1BB"
"PROC","GP9"
"PROC","GP5"
"APOB","PECAM1"
"SERPINB2","PLAU"
"SERPINB2","PLAUR"
"SERPINE1","PLAU"
"SERPINE1","PLAT"
"SERPINE1","PLAUR"
"PRKCG","STXBP3"
"PRKCG","STX4"
"SERPINA5","F8"
"SERPINA5","F13A1"
"SERPINA5","FGA"
"SERPINA5","FGB"
"SERPINA5","FGG"
"SERPINA5","F11"
"SERPINA5","VWF"
"SERPINA5","F13B"
"SERPINA5","GP1BA"
"SERPINA5","F5"
"SERPINA5","GP1BB"
"SERPINA5","GP9"
"SERPINA5","GP5"
"SERPIND1","F8"
"SERPIND1","F13A1"
"SERPIND1","FGA"
"SERPIND1","FGB"
"SERPIND1","FGG"
"SERPIND1","F11"
"SERPIND1","VWF"
"SERPIND1","F13B"
"SERPIND1","GP1BA"
"SERPIND1","F5"
"SERPIND1","GP1BB"
"SERPIND1","GP9"
"SERPIND1","GP5"
"ITGB1","JAM2"
"ITGB1","JAM3"
"PRKCB","STXBP3"
"PRKCB","STX4"
"LCK","LAT"
"LCK","PECAM1"
"FYN","PECAM1"
"SERPINE2","F8"
"SERPINE2","F13A1"
"SERPINE2","PLAU"
"SERPINE2","PLAT"
"SERPINE2","F11"
"SERPINE2","VWF"
"SERPINE2","F13B"
"SERPINE2","GP1BA"
"SERPINE2","F5"
"SERPINE2","GP1BB"
"SERPINE2","GP9"
"SERPINE2","GP5"
"SERPINE2","PLAUR"
"THBD","PROC"
"THBD","PROCR"
"PROS1","F8"
"PROS1","F10"
"PROS1","F5"
"ANXA2","PLG"
"ANXA2","PLAT"
"YES1","PECAM1"
"LYN","PECAM1"
"SERPINF2","PLG"
"F7","F9"
"F7","F10"
"FGR","MAPK14"
"PF4V1","PROC"
"PF4V1","PROCR"
"IRF1","IFNA1"
"IRF1","IFNA13"
"IRF1","IFNA2"
"IRF1","IFNA10"
"IRF1","IFNA7"
"IRF1","IFNA21"
"IRF1","IFNA5"
"IRF1","IFNA14"
"IRF1","IFNA17"
"IRF1","IFNB1"
"IRF1","IFNA6"
"IRF1","IFNA4"
"IRF1","IFNA16"
"IRF1","IFNA8"
"F5","F8"
"F5","F2"
"F5","F2"
"SRC","FGA"
"SRC","FGB"
"SRC","FGG"
"SRC","FN1"
"SRC","VWF"
"SRC","ITGB3"
"SRC","ITGA2B"
"SRC","PECAM1"
"SRC","RAP1B"
"SRC","RAP1A"
"SRC","APBB1IP"
"SRC","TLN1"
"ITGA4","JAM2"
"ITGA4","JAM3"
"CEACAM1","ITGB1"
"CEACAM1","ITGA5"
"F3","F9"
"F3","F10"
"IRF2","IFNA1"
"IRF2","IFNA13"
"IRF2","IFNA2"
"IRF2","IFNA10"
"IRF2","IFNA7"
"IRF2","IFNA21"
"IRF2","IFNA5"
"IRF2","IFNA14"
"IRF2","IFNA17"
"IRF2","IFNB1"
"IRF2","IFNA6"
"IRF2","IFNA4"
"IRF2","IFNA16"
"IRF2","IFNA8"
"VAV1","RAC2"
"VAV1","RAC2"
"VAV1","RHOA"
"VAV1","RHOA"
"VAV1","RHOG"
"VAV1","RHOG"
"PRKCA","STXBP3"
"PRKCA","STX4"
"PTPN1","FGA"
"PTPN1","FGB"
"PTPN1","FGG"
"PTPN1","FN1"
"PTPN1","VWF"
"PTPN1","ITGB3"
"PTPN1","ITGA2B"
"PTPN1","SRC"
"PTPN1","RAP1B"
"PTPN1","RAP1A"
"PTPN1","APBB1IP"
"PTPN1","TLN1"
"PTPN6","FYN"
"PTPN6","LYN"
"PTPN6","FCER1G"
"PTPN6","PDPN"
"PTPN6","GP6"
"PTPN6","CLEC1B"
"GNA11","MAPK14"
"GNA15","MAPK14"
"AKT1","ITGB3"
"AKT1","ITGA2B"
"CEACAM8","ITGB1"
"CEACAM8","ITGA5"
"SERPINB6","PLAU"
"SERPINB6","PLAUR"
"CEACAM6","ITGB1"
"CEACAM6","ITGA5"
"PRCP","KNG1"
"PRCP","KLKB1"
"PRCP","C1QBP"
"SYK","LAT"
"SYK","LCP2"
"GNAQ","MAPK14"
"SERPINB8","PLAU"
"SERPINB8","PLAUR"
"VAV2","RAC2"
"VAV2","RAC2"
"VAV2","CDC42"
"VAV2","CDC42"
"VAV2","RHOA"
"VAV2","RHOA"
"VAV2","RHOB"
"VAV2","RHOG"
"VAV2","RHOG"
"S100A10","PLG"
"S100A10","PLAT"
"GRB2","NRAS"
"GRB2","HRAS"
"GRB2","KRAS"
"TEK","NRAS"
"TEK","HRAS"
"TEK","KRAS"
"PLAUR","HRG"
"PTPN11","FYN"
"PTPN11","LYN"
"PTPN11","FCER1G"
"PTPN11","PDPN"
"PTPN11","GP6"
"PTPN11","CLEC1B"
"SOS1","NRAS"
"SOS1","HRAS"
"SOS1","KRAS"
"LCP2","PLCG2"
"PRKG2","KCNMA1"
"PRKG2","ITPR1"
"PRKG2","KCNMB1"
"PRKG2","KCNMB4"
"PRKG2","KCNMB3"
"PRKG2","KCNMB2"
"PRKG2","IRAG1"
"PRKG1","KCNMA1"
"PRKG1","ITPR1"
"PRKG1","KCNMB1"
"PRKG1","KCNMB4"
"PRKG1","KCNMB3"
"PRKG1","KCNMB2"
"PRKG1","IRAG1"
"ANGPT1","NRAS"
"ANGPT1","HRAS"
"ANGPT1","KRAS"
"JMJD1C","H3C1"
"JMJD1C","H3C4"
"JMJD1C","H3C3"
"JMJD1C","H3C6"
"JMJD1C","H3C11"
"JMJD1C","H3C8"
"JMJD1C","H3C12"
"JMJD1C","H3C10"
"JMJD1C","H3C2"
"JMJD1C","H3C7"
"JMJD1C","H3-3A"
"JMJD1C","H3-3B"
"JMJD1C","H3C14"
"JMJD1C","H3C15"
"JMJD1C","H3C13"
"NFE2","HBD"
"NFE2","HBE1"
"NFE2","HBB"
"NFE2","HBG1"
"NFE2","HBG2"
"RASGRP2","RAP1B"
"RASGRP2","RAP1A"
"RAPGEF4","RAP1B"
"RAPGEF4","RAP1A"
"F2RL3","GNGT2"
"F2RL3","GNB5"
"F2RL3","GNG7"
"F2RL3","GNA14"
"F2RL3","GNB3"
"F2RL3","GNA11"
"F2RL3","GNA15"
"F2RL3","GNAQ"
"F2RL3","GNG4"
"F2RL3","GNG10"
"F2RL3","GNG2"
"F2RL3","GNG11"
"F2RL3","GNB1"
"F2RL3","GNB2"
"F2RL3","GNGT1"
"F2RL3","GNG3"
"F2RL3","GNG5"
"F2RL3","GNA12"
"F2RL3","GNA13"
"F2RL3","GNB4"
"F2RL3","GNG13"
"F2RL3","GNG12"
"F2RL3","GNG8"
"VAV3","RAC2"
